"","fieldname","standard","vetted","namespace","source","comment"
"408","VERBATIMELEVATION","verbatimElevation",1,"dwc","",""
"409","VERBATIMEVENTDATE","verbatimEventDate",1,"dwc","",""
"410","VERBATIMLATITUDE","verbatimLatitude",1,"dwc","",""
"411","VERBATIMLOCALITY","verbatimLocality",1,"dwc","",""
"412","VERBATIMLONGITUDE","verbatimLongitude",1,"dwc","",""
"413","VERBATIMSRS","verbatimSRS",1,"dwc","",""
"414","VERBATIMTAXONRANK","verbatimTaxonRank",1,"dwc","",""
"415","VERNACULARNAME","vernacularName",1,"dwc","",""
"416","WATERBODY","waterBody",1,"dwc","",""
"417","WEIGHT","weight",1,"dwcloud","","dynamicProperties as weight, or MeasurementOrFact"
"418","WELLID","",1,"","FIMS",""
"419","WORMSID","taxonID",1,"dwc","FIMS",""
"420","YEAR","year",1,"dwc","",""
"421","YEARCOLLECTED","year",1,"dwc","",""
"422","YEARIDENTIFIED","yearIdentified",1,"dwcloud","","Contributes to dwc:dateIdentified"
